iter	Logloss
0	0.6709675415
1	0.6498218685
2	0.6299888887
3	0.6131007813
4	0.595705113
5	0.5810661921
6	0.5668836157
7	0.5535588642
8	0.5414866893
9	0.5305089516
10	0.5203471549
11	0.5113934249
12	0.5027102346
13	0.4935384891
14	0.4858472128
15	0.478802326
16	0.4714599119
17	0.4654151093
18	0.4596223382
19	0.454520043
20	0.4493373444
21	0.4448862344
22	0.440325496
23	0.4360791096
24	0.4323199415
25	0.428929379
26	0.425777524
27	0.4227850873
28	0.4198028166
29	0.4174743108
30	0.4148990684
31	0.4126300554
32	0.4102945584
33	0.4083172616
34	0.40642472
35	0.4048901689
36	0.402984669
37	0.4010038193
38	0.3991706118
39	0.3974748754
40	0.3962348526
41	0.395077884
42	0.3939891974
43	0.3929440212
44	0.391610769
45	0.3905698478
46	0.3893423549
47	0.3883441528
48	0.3876140251
49	0.386930265
50	0.3859327554
51	0.3850680655
52	0.3845376429
53	0.3838024942
54	0.3832757022
55	0.3827075832
56	0.3820635419
57	0.3814065801
58	0.3809660692
59	0.3804272774
60	0.3798014686
61	0.3794496753
62	0.3791302406
63	0.3785768264
64	0.3782351346
65	0.3779632097
66	0.3775519768
67	0.3773166281
68	0.37692395
69	0.3765482387
70	0.3763367255
71	0.3761490737
72	0.3758557781
73	0.3756355174
74	0.3754778554
75	0.3753262761
76	0.3751687926
77	0.374934562
78	0.3746887138
79	0.3744429018
80	0.3741485879
81	0.3739299796
82	0.3738006451
83	0.37369956
84	0.3736051036
85	0.3734950975
86	0.3732883667
87	0.3732111544
88	0.3731395256
89	0.3729235631
90	0.3727679203
91	0.3725954581
92	0.3724118657
93	0.372285131
94	0.3721602815
95	0.3721127227
96	0.3720372566
97	0.3719909355
98	0.3719399684
99	0.3718960262
100	0.3718505014
101	0.3717460817
102	0.3717103162
103	0.3716692899
104	0.3716348581
105	0.3715026364
106	0.3714359313
107	0.3713496195
108	0.3713171959
109	0.3711580808
110	0.3711263043
111	0.3710258432
112	0.3709024866
113	0.3708798965
114	0.3708432709
115	0.3708176908
116	0.3707914913
117	0.370772519
118	0.3707494395
119	0.3706404262
120	0.3706178486
121	0.3706010936
122	0.3705788111
123	0.3705275982
124	0.3705108206
125	0.3704082786
126	0.3703889916
127	0.3703608067
128	0.37034469
129	0.3703064839
130	0.3702512436
131	0.3701878893
132	0.370107265
133	0.3700664221
134	0.3699961995
135	0.3699119578
136	0.3698958642
137	0.3698823206
138	0.3698640594
139	0.3698487185
140	0.3697800461
141	0.3697634214
142	0.3697511872
143	0.3697361922
144	0.3696979682
145	0.3696671041
146	0.3696551726
147	0.3696169285
148	0.3695695292
149	0.3695589279
150	0.3695094403
151	0.3694997966
152	0.3694600537
153	0.3694341794
154	0.3694252335
155	0.3694140261
156	0.369404064
157	0.3693549094
158	0.3693519751
159	0.3693284197
160	0.3693186752
161	0.3692483117
162	0.3691968614
163	0.3691887768
164	0.3691284382
165	0.369120955
166	0.369108949
167	0.3690644971
168	0.3690506476
169	0.3690031076
170	0.3689965006
171	0.3689890593
172	0.3689737738
173	0.3689348909
174	0.3688881565
175	0.3688773316
176	0.3688538876
177	0.3688235954
178	0.3688089999
179	0.368784756
180	0.3687265614
181	0.3686868612
182	0.3686411811
183	0.3686031121
184	0.3685631921
185	0.3685544374
186	0.3685220593
187	0.3684838825
188	0.3684536252
189	0.3684473239
190	0.3684124555
191	0.3684062418
192	0.3683998254
193	0.3683946593
194	0.3683767136
195	0.3683475259
196	0.3683397167
197	0.3683245596
198	0.3682967727
199	0.3682743653
200	0.3682492093
201	0.368217568
202	0.3681945021
203	0.3681860276
204	0.368180185
205	0.3681633329
206	0.3681545978
207	0.3681389559
208	0.3681334824
209	0.3681292509
210	0.3681232304
211	0.3681154629
212	0.3681092895
213	0.3680993726
214	0.3680920157
215	0.3680818638
216	0.3680584613
217	0.3680217488
218	0.3680157145
219	0.368010364
220	0.3679898926
221	0.3679723721
222	0.3679643849
223	0.3679595888
224	0.3679519624
225	0.3679457156
226	0.3679195334
227	0.3679138629
228	0.3679060185
229	0.3678853632
230	0.3678802697
231	0.3678700056
232	0.367846349
233	0.3678364236
234	0.3678118158
235	0.3678052352
236	0.3677976273
237	0.3677908511
238	0.367786884
239	0.3677615658
240	0.3677501577
241	0.3677424023
242	0.367717311
243	0.3677104537
244	0.367703399
245	0.3676962851
246	0.3676681033
247	0.3676620231
248	0.3676482971
249	0.3676397848
250	0.3676219233
251	0.3676103316
252	0.3675988559
253	0.3675904723
254	0.3675701742
255	0.3675594946
256	0.3675510932
257	0.3675465452
258	0.3675463501
259	0.367540424
260	0.3675170167
261	0.3675022084
262	0.3674735871
263	0.3674648771
264	0.367459358
265	0.3674365544
266	0.367431436
267	0.3674231776
268	0.3674186543
269	0.3674131977
270	0.3673983871
271	0.3673838311
272	0.3673773988
273	0.3673733348
274	0.3673548177
275	0.3673473361
276	0.3673412101
277	0.3673143184
278	0.3673032119
279	0.3672985082
280	0.3672934639
281	0.3672871273
282	0.3672819195
283	0.3672736041
284	0.3672488096
285	0.3672437542
286	0.3672393623
287	0.3672169497
288	0.3672121779
289	0.3671873911
290	0.3671793507
291	0.3671639692
292	0.3671538628
293	0.3671495634
294	0.3671261446
295	0.3671216241
296	0.3671167544
297	0.3671104609
298	0.3671060492
299	0.3671022603
